task_name,duration,cognitive_cost,priority
Run 2 miles,45,20,7
Complete Peer Reviews,60,5,6
Complete Quiz ,30,5,6
Read Literature Review,120,25,7
Pilates,60,20,10
Meal Prep Dinner,60,10,5
Wash 2 Loads of Laundry,30,5,3
Complete Duolingo,5,1,10
Book Flights to Boston,10,1,6
Pick up Dry-Cleaning,15,3,1
